congress,state_abbrev,district,Winner,Last.Dem.Voteshare,Rep.Ideology,terms,DemFund,RepFund,Rep-DemFunds,Education,%Rural,%White,Median Age
109,CO,1,1,68.705,-0.432,-4,"632,594","17,034","-615,560",,,,
109,CO,2,1,55.004,-0.353,-3,"1,122,459","8,374","-1,114,085",,,,
109,CO,3,1,29.061,0.391,0,"1,661,486","1,638,304","-23,182",,,,
109,CO,4,0,0,0.565,1,"869,007","3,422,482","2,553,475",,,,
109,CO,5,0,0,0.591,9,"11,130","100,276","89,146",,,,
109,CO,6,0,42.125,0.75,3,"827,697","982,522","154,825",,,,
111,CO,1,1,73.498,-0.432,-6,"808,491","13,746","-794,745",,,,
111,CO,2,1,67.202,-0.353,0,"7,353,034","88,757","-7,264,277",,,,
111,CO,3,1,50.552,-0.277,-2,"1,335,166","21,704","-1,313,462",,,,
111,CO,4,1,44.782,0.565,3,"2,893,744","2,862,907","-30,837",,,,
111,CO,5,0,27.037,0.679,1,"241,725","611,755","370,030",,,,
111,CO,6,0,39.098,0.75,0,"273,696","1,467,713","1,194,017",,,,
111,CO,7,1,42.793,-0.282,-1,"1,770,087","34,048","-1,736,039",,,,
113,CO,1,1,71.936,-0.432,-8,"1,051,538","18,183","-1,033,355",47.6,0.7,57.68357594,
113,CO,2,1,62.6,-0.278,-2,"1,147,924","282,436","-865,488",54.8,18.8,83.22754476,
113,CO,3,0,61.613,0.449,1,"1,953,913","2,342,229","388,316",30.9,40.6,71.24690679,
113,CO,4,0,56.197,0.444,1,"905,776","2,295,600","1,389,824",34.7,27.4,72.85236634,
113,CO,5,0,37.04,0.679,3,0,"696,044","696,044",36.2,14.1,72.4135215,
113,CO,6,0,39.331,0.492,2,"1,709,752","3,441,283","1,731,531",42.4,2.7,62.32386691,
113,CO,7,1,63.482,-0.282,-3,"2,975,376","4,839,422","1,864,046",33.2,2.6,64.71067061,
115,CO,1,1,68.229,-0.432,-10,"1,255,486","61,043","-1,194,443",47.6,0.7,57.68357594,
115,CO,2,1,55.685,-0.278,-4,"1,383,484","167,116","-1,216,368",54.8,18.8,83.22754476,
115,CO,3,0,41.071,0.449,3,"1,687,307","1,903,931","216,624",30.9,40.6,71.24690679,
115,CO,4,0,36.748,0.756,1,"73,538","1,011,676","938,138",34.7,27.4,72.85236634,
115,CO,5,0,0,0.679,5,"13,530","587,901","574,371",36.2,14.1,72.4135215,
115,CO,6,0,45.766,0.492,4,"3,133,573","3,515,601","382,028",42.4,2.7,62.32386691,
115,CO,7,1,53.512,-0.282,-5,"1,891,982","53,354","-1,838,628",33.2,2.6,64.71067061,
109,DE,1,0,30.814,0.229,6,"4,429","992,240","987,811",,,,
111,DE,1,0,29.692,0.229,8,"27,845","1,480,591","1,452,746",,,,
113,DE,1,1,37.99,-0.256,-1,"1,526,893","212,168","-1,314,725",31.4,22.2,63.66247813,
115,DE,1,1,64.406,-0.256,0,"1,514,464","219,044","-1,295,420",31.4,22.2,63.66247813,
109,FL,1,0,0,0.633,1,"25,060","377,378","352,318",,,,
109,FL,2,1,72.097,-0.181,-4,"1,903,253","1,133,100","-770,153",,,,
109,FL,3,1,57.587,-0.429,-6,"453,938",0,"-453,938",,,,
109,FL,4,0,31.187,0.333,2,0,"581,117","581,117",,,,
109,FL,5,0,64.269,0.36,1,"140,747","923,134","782,387",,,,
109,FL,6,0,0,0.554,8,"122,764","716,968","594,204",,,,
109,FL,7,0,36.787,0.453,6,0,"472,505","472,505",,,,
109,FL,8,0,49.188,0.458,2,"63,243","617,533","554,290",,,,
109,FL,9,0,0,0.382,11,0,"772,272","772,272",,,,
109,FL,10,0,0,0.325,6,"60,985","556,179","495,194",,,,
109,FL,11,1,84.595,-0.278,-4,"648,911",0,"-648,911",,,,
109,FL,12,0,42.98,0.414,2,"53,500","837,221","783,721",,,,
109,FL,13,0,36.129,0.452,1,"548,279","3,582,920","3,034,641",,,,
109,FL,14,0,0,0.421,0,"25,276","1,892,757","1,867,481",,,,
109,FL,15,0,39.243,0.471,5,"58,925","1,058,969","1,000,044",,,,
109,FL,16,0,37.19,0.311,4,0,"2,240,001","2,240,001",,,,
109,FL,17,1,99.997,-0.363,-1,"556,646",0,"-556,646",,,,
109,FL,18,0,0,0.244,7,"11,883","876,886","865,003",,,,
109,FL,19,1,71.621,-0.392,-4,"743,428",0,"-743,428",,,,
109,FL,20,1,99.881,-0.324,0,"1,524,104","31,315","-1,492,789",,,,
109,FL,21,0,0,0.243,6,0,"524,622","524,622",,,,
109,FL,22,0,49.858,0.3,4,"15,845","1,585,007","1,569,162",,,,
109,FL,23,1,76.343,-0.564,-6,"955,197",0,"-955,197",,,,
111,FL,1,0,23.456,0.633,3,"13,784","360,055","346,271",,,,
111,FL,2,1,61.647,-0.181,-6,"1,450,645","33,411","-1,417,234",,,,
111,FL,3,1,99.24,-0.429,-8,"559,627",0,"-559,627",,,,
111,FL,4,0,0,0.333,4,"170,557","681,603","511,046",,,,
111,FL,5,0,34.059,0.36,3,"32,868","722,174","689,306",,,,
111,FL,6,0,35.589,0.554,10,"149,740","806,444","656,704",,,,
111,FL,7,0,0,0.453,8,"32,929","1,125,803","1,092,874",,,,
111,FL,8,1,39.477,0.458,4,"3,298,460","1,619,406","-1,679,054",,,,
111,FL,9,0,0,0.405,1,"277,009","1,494,533","1,217,524",,,,
111,FL,10,0,30.672,0.325,8,"155,698","943,430","787,732",,,,
111,FL,11,1,85.815,-0.438,-1,"631,095","57,640","-573,455",,,,
111,FL,12,0,35.111,0.414,4,"113,219","1,843,688","1,730,469",,,,
111,FL,13,0,44.699,0.359,1,"2,066,122","4,374,205","2,308,083",,,,
111,FL,14,0,32.407,0.601,2,"15,781","1,293,054","1,277,273",,,,
111,FL,15,0,34.647,0.471,0,"106,953","944,893","837,940",,,,
111,FL,16,0,31.958,-0.163,-1,"3,034,464","1,615,899","-1,418,565",,,,
111,FL,17,1,99.591,-0.363,-3,"1,552,012",0,"-1,552,012",,,,
111,FL,18,0,35.273,0.244,9,"1,177,017","1,834,650","657,633",,,,
111,FL,19,1,100,-0.392,-6,"2,908,098","136,707","-2,771,391",,,,
111,FL,20,1,70.187,-0.421,-2,"1,721,750",0,"-1,721,750",,,,
111,FL,21,0,0,0.243,8,"1,893,437","2,284,221","390,784",,,,
111,FL,22,1,35.295,-0.265,-1,"3,955,503","584,980","-3,370,523",,,,
111,FL,23,1,100,-0.564,-8,"820,458","42,185","-778,273",,,,
111,FL,24,1,0,0.641,3,"2,108,182","2,143,602","35,420",,,,
111,FL,25,0,0,0.279,3,"1,787,665","1,982,909","195,244",,,,
113,FL,1,0,29.816,0.633,5,0,"731,601","731,601",27.8,24.6,73.89985848,
113,FL,2,0,61.879,0.56,1,"714,000","1,823,957","1,109,957",23.5,51.8,76.96473143,
113,FL,3,0,100,-0.429,0,"14,133","633,947","619,814",27.1,33.9,69.176215,
113,FL,4,0,34.745,0.333,6,0,"543,227","543,227",39.6,11.8,76.20386173,
113,FL,5,1,38.845,0.483,-10,"610,072","19,941","-590,131",20.2,20.8,40.81148243,
113,FL,6,0,39.112,0.554,0,"281,009","1,145,859","864,850",23.8,15.9,74.7514051,
113,FL,7,0,37.997,0.453,10,"12,808","2,068,331","2,055,523",39,3.7,60.36233799,
113,FL,8,0,52.011,0.506,0,"26,509","1,051,652","1,025,143",29,11.9,75.91005904,
113,FL,9,1,36.267,0.405,0,"4,676,186","147,112","-4,529,074",23.6,15.2,44.10196601,
113,FL,10,0,39.317,0.325,1,"1,938,874","1,534,725","-404,149",30.8,2.9,39.09697483,
113,FL,11,0,71.656,-0.438,1,0,"600,551","600,551",20.6,32.7,80.38497736,
113,FL,12,0,42.537,0.531,3,"16,107","758,988","742,881",27.5,11.9,79.65054906,
113,FL,13,0,37.491,0.359,18,"517,794","1,040,707","522,913",29.7,1.4,72.51518731,
113,FL,14,1,24.766,0.601,-3,"1,020,415","180,225","-840,190",35.8,1.5,47.29270419,
113,FL,15,0,41.99,0.518,1,0,"883,780","883,780",25.2,13.5,59.91964747,
113,FL,16,0,39.907,0.458,3,"1,447,611","2,209,719","762,108",32.3,10.5,71.49065138,
113,FL,17,0,100,-0.476,2,"18,769","1,096,522","1,077,753",21.5,31.4,75.11417717,
113,FL,18,1,42.13,0.244,1,"4,752,054","19,359,331","14,607,277",31.1,10,68.5345211,
113,FL,19,0,66.157,-0.4,0,"86,286","1,068,123","981,837",32.5,8.9,70.92515085,
113,FL,20,1,77.476,-0.421,-10,"652,963",0,"-652,963",21,2.2,19.07102809,
113,FL,21,1,42.099,0.279,-1,"1,264,158",0,"-1,264,158",35,1.6,58.58330175,
113,FL,22,1,54.679,0.451,0,"3,453,915","3,374,761","-79,154",39,1.3,59.75937287,
113,FL,23,1,82.183,-0.564,-4,"3,629,324","2,052,971","-1,576,353",39.4,2.1,45.35438383,
113,FL,24,1,57.201,0.577,-1,"534,032",0,"-534,032",20.1,0.8,12.61911087,
113,FL,25,0,46.946,0.257,5,0,"852,973","852,973",24.3,8.6,18.74785834,
115,FL,1,0,27.134,0.633,0,"61,750","1,129,050","1,067,300",27.8,24.6,73.89985848,
115,FL,2,0,47.236,-0.233,0,"129,924","1,968,334","1,838,410",23.5,51.8,76.96473143,
115,FL,3,0,32.461,0.705,2,"601,482","811,470","209,988",27.1,33.9,69.176215,
115,FL,4,0,0,0.333,0,"50,194","834,630","784,436",39.6,11.8,76.20386173,
115,FL,5,1,70.767,-0.429,-12,"442,097","89,177","-352,920",20.2,20.8,40.81148243,
115,FL,6,0,42.777,0.663,2,"41,250","4,678,618","4,637,368",23.8,15.9,74.7514051,
115,FL,7,1,41.29,0.453,12,"1,074,475","1,624,556","550,081",39,3.7,60.36233799,
115,FL,8,0,37.508,0.518,2,"25,241","888,494","863,253",29,11.9,75.91005904,
115,FL,9,1,62.519,-0.363,0,"1,186,420","32,432","-1,153,988",23.6,15.2,44.10196601,
115,FL,10,1,48.253,0.506,0,"162,468","50,680","-111,788",30.8,2.9,39.09697483,
115,FL,11,0,35.523,0.483,4,"49,745","869,878","820,133",20.6,32.7,80.38497736,
115,FL,12,0,32.944,0.405,5,"47,918","1,406,331","1,358,413",27.5,11.9,79.65054906,
115,FL,13,1,42.43,0.23,1,"2,073,557","1,936,036","-137,521",29.7,1.4,72.51518731,
115,FL,14,1,70.25,-0.438,-2,"731,882","29,284","-702,598",35.8,1.5,47.29270419,
115,FL,15,0,0,0.531,2,"39,918","1,215,627","1,175,709",25.2,13.5,59.91964747,
115,FL,16,0,46.388,0.359,2,"70,873","1,620,551","1,549,678",32.3,10.5,71.49065138,
115,FL,17,0,41.367,0.458,2,"133,918","626,812","492,894",21.5,31.4,75.11417717,
115,FL,18,0,50.28,-0.186,0,"10,838,958","2,948,071","-7,890,887",31.1,10,68.5345211,
115,FL,19,0,35.839,0.626,0,"14,390","5,142,734","5,128,344",32.5,8.9,70.92515085,
115,FL,20,1,87.9,-0.564,-12,"798,156",0,"-798,156",21,2.2,19.07102809,
115,FL,21,1,77.8,-0.4,-2,"1,639,413","26,727","-1,612,686",35,1.6,58.58330175,
115,FL,22,1,54.627,-0.399,-3,"1,508,992","21,814","-1,487,178",39,1.3,59.75937287,
115,FL,23,1,63.248,-0.421,-6,"4,009,404","123,221","-3,886,183",39.4,2.1,45.35438383,
115,FL,24,1,100,-0.476,-3,"483,780",0,"-483,780",20.1,0.8,12.61911087,
115,FL,25,0,0,0.279,7,"37,101","1,368,064","1,330,963",24.3,8.6,18.74785834,
115,FL,26,0,53.643,0.211,1,"1,373,867","3,862,766","2,488,899",26.4,7.2,17.78732461,
115,FL,27,0,36.938,0.244,13,"940,541","1,532,074","591,533",39.4,1,22.78182496,
109,KY,1,0,42.035,0.303,5,0,"848,124","848,124",,,,
109,KY,2,0,31.389,0.418,5,"3,895","768,504","764,609",,,,
109,KY,3,0,44.227,0.335,4,"1,221,093","3,339,733","2,118,640",,,,
109,KY,4,0,54.264,-0.058,0,"1,452,947","2,604,553","1,151,606",,,,
109,KY,5,0,26.449,0.337,12,0,"643,981","643,981",,,,
109,KY,6,1,34.773,0.285,0,"1,801,703","138,924","-1,662,779",,,,
111,KY,1,0,32.606,0.303,7,"27,939","1,020,193","992,254",,,,
111,KY,2,0,32.085,0.418,0,"916,853","1,282,672","365,819",,,,
111,KY,3,1,37.799,-0.379,-1,"2,136,760","1,705,223","-431,537",,,,
111,KY,4,0,43.888,0.398,2,"17,492","2,100,351","2,082,859",,,,
111,KY,5,0,0,0.337,14,0,"611,926","611,926",,,,
111,KY,6,1,58.605,-0.232,-2,"1,034,153",0,"-1,034,153",,,,
113,KY,1,0,35.65,0.303,9,0,"1,917,049","1,917,049",16.6,61.3,87.66394406,
113,KY,2,0,47.427,0.419,2,0,"1,577,907","1,577,907",20.2,48.8,87.77321945,
113,KY,3,1,59.365,-0.379,-3,"1,000,849","44,614","-956,235",31.9,1.8,68.65505066,
113,KY,4,0,36.966,0.681,0,"125,286","1,064,631","939,345",27.8,36.9,90.47686297,
113,KY,5,0,0,0.337,16,"1,397","1,535,445","1,534,048",13,74.2,95.92470979,
113,KY,6,0,64.658,-0.232,-4,"2,403,029","2,221,935","-181,094",31.3,29,82.74223181,
115,KY,1,0,30.367,0.303,0,"14,625","1,053,372","1,038,747",16.6,61.3,87.66394406,
115,KY,2,0,31.722,0.419,4,0,"1,719,574","1,719,574",20.2,48.8,87.77321945,
115,KY,3,1,63.964,-0.379,-5,"690,576","7,525","-683,051",31.9,1.8,68.65505066,
115,KY,4,0,34.976,0.681,2,0,"463,955","463,955",27.8,36.9,90.47686297,
115,KY,5,0,22.103,0.337,18,0,"1,314,305","1,314,305",13,74.2,95.92470979,
115,KY,6,0,46.679,0.492,2,"454,189","2,519,652","2,065,463",31.3,29,82.74223181,
109,MT,1,0,46.276,0.337,1,"128,825","668,207","539,382",,,,
111,MT,1,0,32.777,0.337,3,0,"1,164,171","1,164,171",,,,
113,MT,1,0,32.425,0.337,0,"992,911","1,830,491","837,580",31.2,43.5,86.86131387,
115,MT,1,0,42.719,0.412,1,"2,707,290","5,557,720","2,850,430",31.2,43.5,86.86131387,
109,SC,1,0,35.698,0.367,2,0,"488,256","488,256",,,,
109,SC,2,0,40.842,0.538,1,"12,980","891,295","878,315",,,,
109,SC,3,0,29.292,0.653,1,0,"724,210","724,210",,,,
109,SC,4,0,0,0.7,3,"15,867","504,492","488,625",,,,
109,SC,5,1,58.783,-0.256,-11,"830,981","1,211","-829,770",,,,
109,SC,6,1,71.761,-0.464,-6,"692,448","8,542","-683,906",,,,
111,SC,1,0,0,0.367,4,"2,229,391","976,846","-1,252,545",,,,
111,SC,2,0,33.319,0.538,3,"614,487","1,161,187","546,700",,,,
111,SC,3,0,0,0.653,3,"81,599","1,182,187","1,100,588",,,,
111,SC,4,0,28.964,0.518,5,"77,795","454,141","376,346",,,,
111,SC,5,1,63.033,-0.256,-13,"1,225,278","9,649","-1,215,629",,,,
111,SC,6,1,66.984,-0.464,-8,"3,081,315",0,"-3,081,315",,,,
113,SC,1,0,47.889,0.637,1,"157,767","1,680,567","1,522,800",39.5,13.8,70.63036073,
113,SC,2,0,46.182,0.538,5,0,"1,030,165","1,030,165",33.3,28.2,67.21517242,
113,SC,3,0,35.23,0.731,1,"18,372","698,728","680,356",21.6,55,74.41210364,
113,SC,4,0,36.911,0.655,1,"4,190","728,767","724,577",31.2,25.4,68.99476965,
113,SC,5,0,61.637,0.75,1,"34,641","798,055","763,414",23.6,46.9,65.65547838,
113,SC,6,1,67.48,-0.464,-10,"2,388,048",0,"-2,388,048",19.7,43.5,35.67156797,
115,SC,1,0,33.845,0.686,4,"27,562","741,639","714,077",39.5,13.8,70.63036073,
115,SC,2,0,0,0.538,7,"70,135","1,151,887","1,081,752",33.3,28.2,67.21517242,
115,SC,3,0,33.26,0.731,3,"10,737","610,666","599,929",21.6,55,74.41210364,
115,SC,4,0,31.507,0.655,3,"100,237","1,869,294","1,769,057",31.2,25.4,68.99476965,
115,SC,5,0,40.972,0.75,3,"706,808","1,124,594","417,786",23.6,46.9,65.65547838,
115,SC,6,1,93.623,-0.464,-12,"2,172,542",0,"-2,172,542",19.7,43.5,35.67156797,
115,SC,7,0,41.559,0.602,2,"90,938","1,082,645","991,707",21,47.5,64.02436813,
